종로구,71644 ,75652 ,4128 ,5143 ,27781 
중구,60851 ,63701 ,4461 ,4695 ,24767 
용산구,110181 ,118832 ,7939 ,6384 ,39575 
성동구,142506 ,149400 ,2852 ,3663 ,45968 
광진구,165747 ,177645 ,5384 ,7415 ,50370 
동대문구,167895 ,170980 ,5414 ,8281 ,60868 
중랑구,193752 ,198289 ,1887 ,2879 ,69841 
성북구,209902 ,224924 ,3684 ,5785 ,73158 
강북구,148306 ,155772 ,1276 ,2183 ,62893 
도봉구,156810 ,164907 ,752 ,1283 ,62360 
노원구,249942 ,268336 ,1777 ,2170 ,85906 
은평구,227910 ,247591 ,1679 ,2427 ,85140 
서대문구,147655 ,160827 ,3676 ,6656 ,53440 
마포구,173624 ,194894 ,3753 ,5945 ,53494 
양천구,222010 ,230667 ,1440 ,1902 ,66231 
강서구,278444 ,298876 ,2498 ,2986 ,89377 
구로구,198034 ,203040 ,14058 ,11543 ,70717 
금천구,116322 ,113522 ,7978 ,6742 ,39781 
영등포구,186692 ,190898 ,13688 ,11792 ,61197 
동작구,188045 ,200685 ,4142 ,5333 ,65396 
관악구,246097 ,244255 ,6303 ,7485 ,78400 
서초구,201619 ,219696 ,1870 ,1918 ,60209 
강남구,255880 ,278916 ,2325 ,2417 ,75602 
송파구,319047 ,342364 ,2611 ,3093 ,94145 
강동구,228609 ,236291 ,1757 ,2158 ,71203 
